,longitude,latitude,Date,Temperature,station_name,EnergyConsumption,DayNumber,WeekNumber,MonthNumber,MonthName
0,-67.830000,47.160000,2023-01-01 00:00:00,,ST LEONARD CS,440.29999999999995,1,1,1,January
744,-66.610000,45.920000,2023-01-01 00:00:00,1.30,FREDERICTON CDA CS,440.29999999999995,1,1,1,January
1494,-66.120000,44.270000,2023-01-01 00:00:00,,SAULNIERVILLE,440.29999999999995,1,1,1,January
1,-67.830000,47.160000,2023-01-01 01:00:00,,ST LEONARD CS,590.45,1,1,1,January
745,-66.610000,45.920000,2023-01-01 01:00:00,1.80,FREDERICTON CDA CS,590.45,1,1,1,January
1495,-66.120000,44.270000,2023-01-01 01:00:00,,SAULNIERVILLE,590.45,1,1,1,January
2,-67.830000,47.160000,2023-01-01 02:00:00,,ST LEONARD CS,588.03,1,1,1,January
746,-66.610000,45.920000,2023-01-01 02:00:00,1.30,FREDERICTON CDA CS,588.03,1,1,1,January
1496,-66.120000,44.270000,2023-01-01 02:00:00,,SAULNIERVILLE,588.03,1,1,1,January
3,-67.830000,47.160000,2023-01-01 03:00:00,,ST LEONARD CS,583.23,1,1,1,January
747,-66.610000,45.920000,2023-01-01 03:00:00,1.60,FREDERICTON CDA CS,583.23,1,1,1,January
1497,-66.120000,44.270000,2023-01-01 03:00:00,,SAULNIERVILLE,583.23,1,1,1,January
4,-67.830000,47.160000,2023-01-01 04:00:00,,ST LEONARD CS,589.0,1,1,1,January
748,-66.610000,45.920000,2023-01-01 04:00:00,1.80,FREDERICTON CDA CS,589.0,1,1,1,January
1498,-66.120000,44.270000,2023-01-01 04:00:00,,SAULNIERVILLE,589.0,1,1,1,January
5,-67.830000,47.160000,2023-01-01 05:00:00,,ST LEONARD CS,589.48,1,1,1,January
749,-66.610000,45.920000,2023-01-01 05:00:00,1.60,FREDERICTON CDA CS,589.48,1,1,1,January
1499,-66.120000,44.270000,2023-01-01 05:00:00,,SAULNIERVILLE,589.48,1,1,1,January
6,-67.830000,47.160000,2023-01-01 06:00:00,,ST LEONARD CS,585.15,1,1,1,January
750,-66.610000,45.920000,2023-01-01 06:00:00,2.00,FREDERICTON CDA CS,585.15,1,1,1,January
1500,-66.120000,44.270000,2023-01-01 06:00:00,,SAULNIERVILLE,585.15,1,1,1,January
7,-67.830000,47.160000,2023-01-01 07:00:00,,ST LEONARD CS,588.52,1,1,1,January
