,longitude,latitude,Date,Temperature,station_name,EnergyConsumption,DayNumber,WeekNumber,MonthNumber,MonthName,month,month_year,v1,v2
1970-01-01 00:00:00.000000744,-66.610000,45.920000,2023-01-01 00:00:00,1.30,FREDERICTON CDA CS,440.29999999999995,1.0,1.0,1.0,January,January,January 2023,,
1970-01-01 00:00:00.000000745,-66.610000,45.920000,2023-01-01 01:00:00,1.80,FREDERICTON CDA CS,590.45,1.0,1.0,1.0,January,January,January 2023,,
1970-01-01 00:00:00.000000746,-66.610000,45.920000,2023-01-01 02:00:00,1.30,FREDERICTON CDA CS,588.03,1.0,1.0,1.0,January,January,January 2023,,
1970-01-01 00:00:00.000000747,-66.610000,45.920000,2023-01-01 03:00:00,1.60,FREDERICTON CDA CS,583.23,1.0,1.0,1.0,January,January,January 2023,,
1970-01-01 00:00:00.000000748,-66.610000,45.920000,2023-01-01 04:00:00,1.80,FREDERICTON CDA CS,589.0,1.0,1.0,1.0,January,January,January 2023,,
1970-01-01 00:00:00.000000749,-66.610000,45.920000,2023-01-01 05:00:00,1.60,FREDERICTON CDA CS,589.48,1.0,1.0,1.0,January,January,January 2023,,
1970-01-01 00:00:00.000000750,-66.610000,45.920000,2023-01-01 06:00:00,2.00,FREDERICTON CDA CS,585.15,1.0,1.0,1.0,January,January,January 2023,,
1970-01-01 00:00:00.000000751,-66.610000,45.920000,2023-01-01 07:00:00,2.30,FREDERICTON CDA CS,588.52,1.0,1.0,1.0,January,January,January 2023,,
1970-01-01 00:00:00.000000752,-66.610000,45.920000,2023-01-01 08:00:00,2.70,FREDERICTON CDA CS,591.89,1.0,1.0,1.0,January,January,January 2023,,
1970-01-01 00:00:00.000000753,-66.610000,45.920000,2023-01-01 09:00:00,2.90,FREDERICTON CDA CS,590.93,1.0,1.0,1.0,January,January,January 2023,,
1970-01-01 00:00:00.000000754,-66.610000,45.920000,2023-01-01 10:00:00,3.60,FREDERICTON CDA CS,658.3,1.0,1.0,1.0,January,January,January 2023,,
1970-01-01 00:00:00.000000755,-66.610000,45.920000,2023-01-01 11:00:00,3.80,FREDERICTON CDA CS,835.37,1.0,1.0,1.0,January,January,January 2023,,
1970-01-01 00:00:00.000000756,-66.610000,45.920000,2023-01-01 12:00:00,3.70,FREDERICTON CDA CS,841.63,1.0,1.0,1.0,January,January,January 2023,,
1970-01-01 00:00:00.000000757,-66.610000,45.920000,2023-01-01 13:00:00,3.50,FREDERICTON CDA CS,834.9,1.0,1.0,1.0,January,January,January 2023,,
1970-01-01 00:00:00.000000758,-66.610000,45.920000,2023-01-01 14:00:00,2.70,FREDERICTON CDA CS,838.27,1.0,1.0,1.0,January,January,January 2023,,
1970-01-01 00:00:00.000000759,-66.610000,45.920000,2023-01-01 15:00:00,1.60,FREDERICTON CDA CS,841.63,1.0,1.0,1.0,January,January,January 2023,,
1970-01-01 00:00:00.000000760,-66.610000,45.920000,2023-01-01 16:00:00,1.70,FREDERICTON CDA CS,842.11,1.0,1.0,1.0,January,January,January 2023,,
1970-01-01 00:00:00.000000761,-66.610000,45.920000,2023-01-01 17:00:00,1.80,FREDERICTON CDA CS,840.19,1.0,1.0,1.0,January,January,January 2023,,
1970-01-01 00:00:00.000000762,-66.610000,45.920000,2023-01-01 18:00:00,2.50,FREDERICTON CDA CS,832.02,1.0,1.0,1.0,January,January,January 2023,,
1970-01-01 00:00:00.000000763,-66.610000,45.920000,2023-01-01 19:00:00,1.80,FREDERICTON CDA CS,839.71,1.0,1.0,1.0,January,January,January 2023,,
1970-01-01 00:00:00.000000764,-66.610000,45.920000,2023-01-01 20:00:00,1.70,FREDERICTON CDA CS,844.04,1.0,1.0,1.0,January,January,January 2023,,
1970-01-01 00:00:00.000000765,-66.610000,45.920000,2023-01-01 21:00:00,1.60,FREDERICTON CDA CS,836.34,1.0,1.0,1.0,January,January,January 2023,,
1970-01-01 00:00:00.000000766,-66.610000,45.920000,2023-01-01 22:00:00,1.10,FREDERICTON CDA CS,844.52,1.0,1.0,1.0,January,January,January 2023,,
1970-01-01 00:00:00.000000767,-66.610000,45.920000,2023-01-01 23:00:00,1.20,FREDERICTON CDA CS,845.0,1.0,1.0,1.0,January,January,January 2023,,
1970-01-01 00:00:00.000000768,-66.610000,45.920000,2023-01-02 00:00:00,1.20,FREDERICTON CDA CS,726.1400000000001,2.0,2.0,1.0,January,January,January 2023,,
1970-01-01 00:00:00.000000769,-66.610000,45.920000,2023-01-02 01:00:00,1.00,FREDERICTON CDA CS,595.74,2.0,2.0,1.0,January,January,January 2023,,
1970-01-01 00:00:00.000000770,-66.610000,45.920000,2023-01-02 02:00:00,0.90,FREDERICTON CDA CS,599.1,2.0,2.0,1.0,January,January,January 2023,,
1970-01-01 00:00:00.000000771,-66.610000,45.920000,2023-01-02 03:00:00,0.90,FREDERICTON CDA CS,595.25,2.0,2.0,1.0,January,January,January 2023,,
1970-01-01 00:00:00.000000772,-66.610000,45.920000,2023-01-02 04:00:00,1.00,FREDERICTON CDA CS,594.78,2.0,2.0,1.0,January,January,January 2023,,
1970-01-01 00:00:00.000000773,-66.610000,45.920000,2023-01-02 05:00:00,1.00,FREDERICTON CDA CS,595.27,2.0,2.0,1.0,January,January,January 2023,,
1970-01-01 00:00:00.000000774,-66.610000,45.920000,2023-01-02 06:00:00,-0.10,FREDERICTON CDA CS,593.3299999999999,2.0,2.0,1.0,January,January,January 2023,,
1970-01-01 00:00:00.000000775,-66.610000,45.920000,2023-01-02 07:00:00,-0.90,FREDERICTON CDA CS,588.0500000000001,2.0,2.0,1.0,January,January,January 2023,,
